
=====================
|Traveling the rides|
=====================
1615 time: 22881
789 time: 24026
11670 time: 36369
1227 time: 49636
15301==========1 time: 49636
561 time: 20120
701 time: 21179
11244 time: 33955
0 time: 45662
0 time: 48456
0 time: 50092
27807==========2 time: 50092
1016 time: 18410
1341 time: 33837
1837 time: 36724
2131 time: 38990
677 time: 39680
1512 time: 42721
2269 time: 46545
2196 time: 49477
40786==========3 time: 49477
713 time: 33976
762 time: 36182
1099 time: 37465
887 time: 45753
1771 time: 49361
46018==========4 time: 49361
645 time: 9881
617 time: 11633
582 time: 12648
14399 time: 27052
1502 time: 47978
0 time: 51278
63763==========5 time: 51278
1406 time: 25875
2782 time: 30345
11357 time: 46178
0 time: 60863
79308==========6 time: 60863
915 time: 23613
1795 time: 27531
1265 time: 29243
1378 time: 32838
2137 time: 37941
1233 time: 39768
1589 time: 48685
89620==========7 time: 48685
1057 time: 30437
1135 time: 38689
2018 time: 40724
650 time: 42361
94480==========8 time: 42361
1090 time: 4042
558 time: 8874
1129 time: 10513
2450 time: 13827
10712 time: 28299
1017 time: 39818
7646 time: 48476
119082==========9 time: 48476
731 time: 42695
493 time: 43378
1161 time: 46948
121467==========10 time: 46948
336 time: 13354
932 time: 15344
1290 time: 17284
2470 time: 21442
1067 time: 23385
1606 time: 26660
1398 time: 29221
844 time: 30798
1279 time: 32096
1646 time: 39744
1382 time: 41152
1795 time: 44554
524 time: 47083
138036==========11 time: 47083
596 time: 5910
1775 time: 16563
2042 time: 39104
2047 time: 43604
559 time: 47334
145055==========12 time: 47334
727 time: 23122
1961 time: 26161
1563 time: 29141
8948 time: 38728
1806 time: 47907
797 time: 49451
160857==========13 time: 49451
299 time: 28868
793 time: 34096
8180 time: 44041
170129==========14 time: 44041
425 time: 11480
1452 time: 31877
580 time: 37977
1188 time: 39195
2091 time: 42197
2284 time: 48179
178149==========15 time: 48179
1692 time: 22916
2361 time: 27156
1598 time: 28784
1078 time: 33382
1603 time: 36941
1056 time: 38034
1442 time: 40352
1772 time: 42155
1301 time: 44227
1526 time: 46854
193578==========16 time: 46854
511 time: 40798
1276 time: 43989
941 time: 45283
994 time: 47132
416 time: 48161
197716==========17 time: 48161
2172 time: 18175
2288 time: 24069
1799 time: 26830
2579 time: 30914
1262 time: 33397
776 time: 34745
1414 time: 40567
1085 time: 41703
817 time: 43032
2148 time: 46938
214056==========18 time: 46938
1004 time: 31663
910 time: 34650
1866 time: 37967
2074 time: 40047
712 time: 42870
1557 time: 45831
981 time: 47440
223160==========19 time: 47440
210 time: 26395
1930 time: 29617
305 time: 31468
1515 time: 35847
519 time: 38268
1118 time: 39880
1144 time: 41571
1310 time: 44337
1365 time: 46492
232576==========20 time: 46492
1895 time: 9930
3236 time: 13941
1541 time: 34729
1471 time: 37361
1145 time: 40188
1745 time: 43245
1006 time: 44965
1075 time: 47526
245690==========21 time: 47526
920 time: 32451
1565 time: 34887
539 time: 35440
817 time: 36759
8151 time: 45722
